Price,Beds,Baths,sq.ft,Floor,Units,Northern_Exposure,Southern_Exposure,Eastern_Exposure,Western_Exposure,Balcony,Walk_In_Closet,Fireplace,City_Skyline,Kitchen_Island,Stainless_Appliances,Renovated,Office_Space,Days_Till_Available,Estimated_Vacancy
2377,0,1,523,5,144,1,0,0,1,0,0,0,0,0,1,1,0,47,0.02083333333
2816,1,1,713,2,144,1,0,0,0,0,0,0,0,0,1,1,0,58,0.02083333333
3811,2,2,1252,6,144,1,0,0,1,0,0,1,0,0,0,0,0,83,0.02083333333
1549,0,1,456,2,556,1,0,0,0,0,1,0,0,0,0,0,0,62,0.003597122302
1753,1,1,580,3,556,0,1,0,0,0,1,0,0,0,0,0,0,80,0.003597122302
2161,0,1,556,4,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01149425287
2772,1,1,656,5,174,0,0,0,0,0,0,0,0,0,0,0,0,19,0.01149425287
2084,0,1,468,8,559,1,0,0,1,0,0,0,0,0,0,0,0,59,0.003577817531
2459,1,1,679,8,559,0,1,0,0,0,0,0,0,0,0,0,0,33,0.003577817531
1876,0,1,420,1,138,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01449275362
3189,1,1,750,3,138,0,0,1,0,0,0,0,0,0,0,0,0,74,0.01449275362
2216,0,1,475,4,306,0,1,1,0,1,0,0,0,0,0,0,0,45,0.009803921569
2925,1,1,715,8,306,1,0,0,1,0,1,0,0,0,0,0,0,18,0.009803921569
4067,2,2,1090,7,306,0,0,1,0,0,1,0,0,0,0,0,0,60,0.009803921569
2397,0,1,577,1,359,0,1,0,0,0,0,0,0,0,0,0,0,4,0.008356545961
2938,1,1,730,1,359,1,0,0,0,0,0,0,0,0,0,0,0,19,0.008356545961
4490,2,2,1400,5,359,1,0,0,0,0,1,0,0,0,0,0,1,0,0.008356545961
1865,0,1,419,11,222,0,0,0,0,1,0,0,0,0,0,0,0,13,0.01351351351
2260,1,1,759,8,222,0,0,0,0,1,0,0,0,0,0,0,0,61,0.01351351351
3435,2,2,938,8,222,0,0,0,0,0,0,0,0,1,0,0,0,19,0.01351351351
1893,0,1,500,5,136,0,0,1,0,0,0,0,0,0,0,0,0,24,0.02205882353
1980,1,1,800,4,136,1,0,0,0,0,0,0,0,0,0,0,0,31,0.02205882353
3291,2,2,1180,4,136,1,0,1,0,0,0,0,0,0,0,0,0,42,0.02205882353
1565,0,1,450,1,214,1,0,0,1,0,0,0,0,0,0,0,0,0,0.01401869159
1977,1,1,800,4,214,0,0,1,0,0,0,0,0,0,0,0,0,33,0.01401869159
3736,2,2,1750,6,214,0,0,0,1,1,0,0,0,0,0,0,0,40,0.01401869159
3260,2,2,875,5,202,0,1,0,0,1,0,0,0,0,0,0,0,0,0.00495049505
2339,0,1,625,15,314,1,0,0,1,1,0,0,0,0,0,1,0,62,0.009554140127
2422,1,1,719,4,314,0,0,0,1,0,0,0,0,0,0,1,0,0,0.009554140127
3173,2,1,818,16,314,0,0,1,0,1,0,0,0,0,0,0,0,38,0.009554140127
1924,1,1,665,11,362,0,0,0,1,0,0,0,0,0,1,0,0,11,0.005524861878
2774,2,2,955,3,362,0,0,0,0,1,0,0,0,0,0,1,0,0,0.005524861878
2195,1,1,725,3,181,0,0,0,1,1,0,0,0,0,0,1,0,0,0.005524861878
2115,1,1,683,3,212,0,0,0,1,1,0,0,0,0,0,0,0,0,0.009433962264
3085,2,2,1055,1,212,0,0,0,1,1,0,0,0,0,0,0,0,45,0.009433962264
2186,1,1,633,3,229,0,0,1,0,0,0,0,0,0,0,1,0,5,0.008733624454
3170,2,2,1053,2,229,0,0,1,0,0,0,0,0,0,1,0,0,0,0.008733624454
1861,0,1,523,9,326,0,0,0,1,1,0,0,0,0,0,0,0,0,0.009202453988
2083,1,1,714,4,326,1,0,0,1,1,0,0,0,0,0,0,0,6,0.009202453988
2809,2,1,945,14,326,0,1,0,0,0,0,0,0,0,0,0,0,48,0.009202453988
2020,0,1,593,1,273,0,0,0,1,0,0,0,0,0,0,1,0,22,0.003663003663
1757,0,1,630,5,625,0,0,1,0,0,0,0,0,0,0,0,0,33,0.0048
1978,1,1,950,1,625,0,0,1,0,0,0,0,0,0,0,0,0,6,0.0048
2790,2,1,1075,7,625,0,0,1,0,1,1,0,0,0,0,0,0,49,0.0048
2280,1,1,564,18,396,1,0,0,1,1,0,0,0,0,0,1,0,33,0.005050505051
3374,2,2,1080,19,396,0,1,0,1,1,0,0,0,0,0,1,0,10,0.005050505051
2213,1,1,630,4,219,0,0,0,1,1,0,0,0,0,0,0,0,33,0.009132420091
3172,2,2,1100,2,219,1,0,0,0,0,0,0,0,1,0,0,0,34,0.009132420091
2432,1,1,760,2,142,1,0,0,0,1,0,0,0,0,1,0,0,0,0.01408450704
3178,2,2,1227,4,142,1,1,0,0,0,0,0,0,0,1,0,0,0,0.01408450704
2035,1,1,730,4,188,0,0,0,1,1,0,0,0,0,0,0,0,4,0.01063829787
2913,2,2,1039,4,188,1,0,0,0,0,0,0,0,0,0,0,0,63,0.01063829787
1430,0,1,362,1,597,1,0,0,0,0,0,0,0,0,0,0,0,75,0.003350083752
2357,2,1,867,2,597,0,0,1,0,0,0,0,0,0,0,0,0,54,0.003350083752
1908,1,1,806,3,247,0,0,1,0,0,0,0,0,0,0,0,0,33,0.01214574899
